Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/instrumentation-mysql","SPDXRef-Package-opentelemetry.instrumentation-mysql-0.49.0","0.49.0","https://registry.npmjs.org/@opentelemetry/instrumentation-mysql/-/instrumentation-mysql-0.49.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-mysql2","SPDXRef-Package-opentelemetry.instrumentation-mysql2-0.50.0","0.50.0","https://registry.npmjs.org/@opentelemetry/instrumentation-mysql2/-/instrumentation-mysql2-0.50.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-nestjs-core","SPDXRef-Package-opentelemetry.instrumentation-nestjs-core-0.49.0","0.49.0","https://registry.npmjs.org/@opentelemetry/instrumentation-nestjs-core/-/instrumentation-nestjs-core-0.49.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-net","SPDXRef-Package-opentelemetry.instrumentation-net-0.47.0","0.47.0","https://registry.npmjs.org/@opentelemetry/instrumentation-net/-/instrumentation-net-0.47.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-oracledb","SPDXRef-Package-opentelemetry.instrumentation-oracledb-0.29.0","0.29.0","https://registry.npmjs.org/@opentelemetry/instrumentation-oracledb/-/instrumentation-oracledb-0.29.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-pg","SPDXRef-Package-opentelemetry.instrumentation-pg-0.56.1","0.56.1","https://registry.npmjs.org/@opentelemetry/instrumentation-pg/-/instrumentation-pg-0.56.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation-pino","SPDXRef-Package-opentelemetry.instrumentation-pino-0.50.1","0.50.1","https://registry.npmjs.org/@opentelemetry/instrumentation-pino/-/instrumentation-pino-0.50.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation-redis","SPDXRef-Package-opentelemetry.instrumentation-redis-0.51.0","0.51.0","https://registry.npmjs.org/@opentelemetry/instrumentation-redis/-/instrumentation-redis-0.51.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-restify","SPDXRef-Package-opentelemetry.instrumentation-restify-0.49.0","0.49.0","https://registry.npmjs.org/@opentelemetry/instrumentation-restify/-/instrumentation-restify-0.49.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-router","SPDXRef-Package-opentelemetry.instrumentation-router-0.48.0","0.48.0","https://registry.npmjs.org/@opentelemetry/instrumentation-router/-/instrumentation-router-0.48.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-runtime-node","SPDXRef-Package-opentelemetry.instrumentation-runtime-node-0.17.1","0.17.1","https://registry.npmjs.org/@opentelemetry/instrumentation-runtime-node/-/instrumentation-runtime-node-0.17.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation-socket.io","SPDXRef-Package-opentelemetry.instrumentation-socket.io-0.50.0","0.50.0","https://registry.npmjs.org/@opentelemetry/instrumentation-socket.io/-/instrumentation-socket.io-0.50.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-tedious","SPDXRef-Package-opentelemetry.instrumentation-tedious-0.22.0","0.22.0","https://registry.npmjs.org/@opentelemetry/instrumentation-tedious/-/instrumentation-tedious-0.22.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-undici","SPDXRef-Package-opentelemetry.instrumentation-undici-0.14.0","0.14.0","https://registry.npmjs.org/@opentelemetry/instrumentation-undici/-/instrumentation-undici-0.14.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-winston","SPDXRef-Package-opentelemetry.instrumentation-winston-0.48.1","0.48.1","https://registry.npmjs.org/@opentelemetry/instrumentation-winston/-/instrumentation-winston-0.48.1.tgz","Apache-2.0"
"@opentelemetry/otlp-exporter-base","SPDXRef-Package-opentelemetry.otlp-exporter-base-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/otlp-exporter-base/-/otlp-exporter-base-0.203.0.tgz","Apache-2.0"
"@opentelemetry/otlp-grpc-exporter-base","SPDXRef-Package-opentelemetry.otlp-grpc-exporter-base-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/otlp-grpc-exporter-base/-/otlp-grpc-exporter-base-0.203.0.tgz","Apache-2.0"
"@opentelemetry/otlp-transformer","SPDXRef-Package-opentelemetry.otlp-transformer-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/otlp-transformer/-/otlp-transformer-0.203.0.tgz","Apache-2.0"
